,Category,Current Channel,Current Video,Current Views,Next Channel,Count,CHANNEL_TITLE,IDEOLOGY
156,Alt-light,BlazeTV,"Trump SLAMS Violent Rioters, Promises Justice for George Floyd",15521,Yahoo,1,,
157,Alt-light,BlazeTV,"Trump SLAMS Violent Rioters, Promises Justice for George Floyd",15521,BBC News,1,BBC News,
158,Alt-light,BlazeTV,"Trump SLAMS Violent Rioters, Promises Justice for George Floyd",15521,Ruptly,1,Ruptly,
159,Alt-light,Michael Knowles,NO WAY! Michael Destroys Earth Day with Horrifying Facts,4830,Michael Knowles,1,Michael Knowles,Alt-light
160,Alt-light,Michael Knowles,NO WAY! Michael Destroys Earth Day with Horrifying Facts,4830,abcqanda,1,,
161,Alt-light,Michael Knowles,NO WAY! Michael Destroys Earth Day with Horrifying Facts,4830,Saturday Night Live,1,,
162,Alt-light,Michael Knowles,NO WAY! Michael Destroys Earth Day with Horrifying Facts,4830,Good Morning America,1,Good Morning America,
163,Alt-light,Michael Knowles,NO WAY! Michael Destroys Earth Day with Horrifying Facts,4830,Huckabee,1,,
164,Alt-light,Michael Knowles,NO WAY! Michael Destroys Earth Day with Horrifying Facts,4830,YAFTV,2,YAFTV,Alt-light
165,Alt-light,Michael Knowles,NO WAY! Michael Destroys Earth Day with Horrifying Facts,4830,Gabriel Iglesias,1,,
166,Alt-light,Michael Knowles,NO WAY! Michael Destroys Earth Day with Horrifying Facts,4830,Yahoo,1,,
167,Alt-light,Michael Knowles,NO WAY! Michael Destroys Earth Day with Horrifying Facts,4830,YoungRippa59,1,,
168,Alt-light,Sargon of Akkad,The Language of Oppression,325079,Sargon of Akkad,1,Sargon of Akkad,Alt-light
169,Alt-light,Sargon of Akkad,The Language of Oppression,325079,PowerfulJRE,1,PowerfulJRE,Conspiracy
170,Alt-light,Sargon of Akkad,The Language of Oppression,325079,Jordan B Peterson,1,Jordan B Peterson,IDW
171,Alt-light,Sargon of Akkad,The Language of Oppression,325079,Yahoo,1,,
