,AIN,AntiSJW,AntiTheist,AntiWhiteness,Conspiracy,Educational,LateNightTalkShow,Libertarian,MRA,Mainstream News,ManoelAltLite,ManoelAltRight,ManoelIDW,MissingLinkMedia,PartisanLeft,PartisanRight,Politician,Provocateur,ReligiousConservative,Revolutionary,SocialJustice,Socialist,StateFunded,TV,WhiteIdentitarian
PartisanRight,0.008700626714795944,0.21092252682161172,0.0,0.005351558718236947,0.001733681051360885,2.2105764808586392e-05,0.0,0.147214991980933,0.0,0.06580157258566222,0.018713080323185687,0.0,0.006735445049739756,0.0029671113227869497,0.014657877438380403,0.2505980011033246,0.0,0.009647306836524627,0.17196258907239748,0.0,0.006263994243337522,0.0,0.007944121624906408,0.07076340934800728,0.0
Politician,0.0,0.0,0.0,0.0,0.006838609618560579,0.1804353768694657,0.03591720850199275,0.201021374119755,0.0,0.08548375967346046,0.0,0.0,0.0,0.012655855716821558,0.12103412102479351,0.06888124974362567,0.09002626227059202,0.0,0.0,0.0,0.07528665962085536,0.0,0.01005257647851538,0.11236694636156205,0.0
Provocateur,0.01826455599462774,0.23233566835695077,0.0,0.00901592491810123,0.10262139387944808,0.01046102282944514,0.0024500916615181937,0.1811284260026968,0.0,0.043779620846498925,0.010864153530515492,0.0,0.015710209841050784,0.0,0.016271588728916212,0.12702843256859672,0.0,0.12606270090015043,0.0,0.0,0.02227388779376986,0.04191168342452454,0.010479020727690578,0.0270128232803036,0.0023287947151949258
ReligiousConservative,0.0,0.07368873025841291,0.0,0.0,0.006048171150852354,0.006080096797623169,0.0,0.18289151872333675,0.0,0.11135384241571092,0.004646686057296337,0.0008318252665977119,0.23974781318111874,0.02399601167783107,0.014261346626906927,0.042032165499426725,0.0,0.0,0.10739963418757689,0.0,0.0626510142684195,0.0,0.032086486381718744,0.08598147194894272,0.0063031855582285305
Revolutionary,0.0693423760613981,0.07253996981340259,0.0,0.0,0.0,0.0030466520851866507,0.0005776404788227279,0.03490467456533965,0.0,0.013341411909566586,0.0,0.0,0.14797972954968258,0.07029806509101158,0.010542351028864057,0.0023946257475583516,0.0,0.0,0.0,0.36280747854766515,0.020952812544945073,0.18299172980278547,0.006351745120890908,0.0019287376528805164,0.0
SocialJustice,0.0,0.00042233025904212613,0.00031429846127430686,0.0001691693995483524,0.0,0.004659859305547242,0.053461434340342874,4.838012051073881e-05,0.0,0.025671035463679215,0.0,0.0,0.0,0.02006119014587965,0.6585213689364993,0.002956696006707791,0.0,0.0,0.0,0.0,0.18487211317140165,0.021704102877730135,0.006564735445969595,0.02057328606586708,0.0
Socialist,0.0,0.05400425147217404,0.0,0.0,0.0,0.033051779068702804,0.0,0.026020234854904283,0.0,0.0071102740775568635,0.0,0.0,4.982752057900412e-05,0.00015260794385218288,0.06856365057966016,0.00048175532889556855,0.0,0.043254276445465416,0.002913897925377305,0.009606293531363894,0.6116380240774676,0.13417515450996212,0.0033850269550812937,0.005592945708957512,0.0
StateFunded,0.0,0.0009717254300800545,0.0,0.0,0.0,0.016286514222449328,0.0023747019247146992,0.002224493272014989,0.0,0.29393289047862375,0.0,0.0,0.0004429611650485437,0.007666709248850281,0.18718074007835123,0.04636944302503832,0.0,0.0,0.0,0.0,0.029159640606370295,0.00047106540623403166,0.24316609180718787,0.1697530233350366,0.0
TV,0.0,0.0,0.0,0.0,0.0,0.0,0.17752016581633076,0.0,0.0,0.03480551942120984,0.0,0.0,0.0,0.0014952900344162245,0.2427325382045653,0.010363811910332333,0.0,0.0,0.0,0.0,0.2177260109265168,0.0,0.00020702082960439146,0.31514964285702435,0.0
WhiteIdentitarian,0.013742887860992333,0.04131001650777763,0.0,0.0,0.01346546953260144,0.002294388284956894,0.0,0.4369969105307859,0.0,0.08356519726038304,0.007048818274211095,0.03523181561002418,0.01568741695655726,0.004263364870711269,0.0004940473655731344,0.07506128517647065,0.0,0.01527552009347888,0.031733397102559756,0.0,0.028188996507164537,0.0,0.06759412006304609,0.05584923368041603,0.07219711432228991
